,index
20160415,1262.8536730771957
20160418,1263.4330144976484
20160419,1266.0133072260398
20160420,1264.403809537483
20160421,1269.8156483364644
20160422,1267.295759787261
20160425,1266.432866516654
20160426,1266.753356690475
20160427,1264.928869445566
20160428,1265.0126329123502
20160429,1265.2966864883342
20160503,1265.8569670618892
20160504,1264.5618380428652
20160505,1263.110098474709
20160506,1260.5907889107823
20160509,1258.2514238306298
20160510,1257.8220433527488
20160511,1258.5528380881574
20160512,1258.9390521954924
20160513,1257.428336428963
20160516,1256.194719075037
20160517,1257.115834128227
20160518,1253.44794840985
20160519,1252.7826556288835
20160520,1255.3783323696596
20160523,1253.2149963670763
20160524,1254.13946590903
20160525,1253.024342610932
20160526,1253.0340551669744
20160527,1252.9333821074963
20160530,1252.2114176574617
20160531,1256.7352925629923
20160601,1256.148598667803
20160602,1254.8391316136424
20160603,1257.1157052628594
20160606,1259.819046486488
20160607,1259.6291188563944
20160608,1259.606276342697
20160613,1262.989001070801
20160614,1262.2807495434113
20160615,1266.082556320765
20160616,1266.6410116321783
20160617,1268.676864417601
20160620,1270.5865545447955
20160621,1270.3159879424036
20160622,1273.0157317853534
20160623,1271.0995211246332
20160624,1272.5647086869894
20160627,1279.786340876481
20160628,1281.0059413181775
20160629,1278.242355391286
20160630,1281.72072454423
20160701,1285.5737138060874
20160704,1288.1554616635306
20160705,1286.274012523275
20160706,1285.067054547093
20160707,1284.6813421603758
20160708,1281.2289248903078
20160711,1281.1535425003942
20160712,1282.753753854137
20160713,1282.6077920334656
20160714,1283.1993519964506
20160715,1283.5404336711515
20160718,1281.2483736783213
20160719,1281.320333571986
20160720,1282.5737631987215
20160721,1283.9499397414968
20160722,1282.683578055879
20160725,1280.5021178842876
20160726,1283.1281294134792
20160727,1279.889198245174
20160728,1284.5519154661754
20160729,1282.8568363305667
20160801,1283.3651251948957
20160802,1283.6354087494233
20160803,1284.685744948318
20160804,1284.4876150501275
20160805,1288.5311748292584
20160808,1288.60959898462
20160809,1289.9159518376673
20160810,1290.049026974889
20160811,1290.8178301892283
20160812,1293.7816523003469
20160815,1298.329638527126
20160816,1297.6652857234471
20160817,1295.873265407018
20160818,1296.43032558683
20160819,1294.3013578954774
20160822,1294.3096754050173
20160823,1292.1896492132291
20160824,1291.1735109416843
20160825,1290.0946109749582
20160826,1293.2524405652744
20160829,1290.462453061812
20160830,1287.1999950925392
20160831,1288.5578986906116
20160901,1289.129384904137
20160902,1289.0279152106718
20160905,1289.1145060285428
20160906,1289.544647504746
20160907,1288.4875675905046
20160908,1290.1461018521009
20160909,1292.0490448474914
20160912,1283.3612690061163
20160913,1286.3378904439192
20160914,1283.9230877791802
20160919,1285.8609136942669
20160920,1288.4883443137162
20160921,1289.1599791355238
20160922,1289.5647092952083
20160923,1290.3487822930188
20160926,1289.8262141292475
20160927,1290.3440087613408
20160928,1289.906493837812
20160929,1290.6677580163685
20160930,1291.1131056960935
20161010,1296.5205424715066
